3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
69,Q2 2024/25,2024/08/16,South African National Accreditation System (SANAS),VOIP,LIQUID TelecommunicLatdtions South Africa (Pty),Contract extension,"R54 137,60","R103 422 276,00","R0,00",2024/07/31,2024/08/01,2024/11/30,Reported,
70,Q2 2024/25,2024/08/16,South African National Accreditation System (SANAS),RDS CALs for the MS Server 2022,Altron,Aditional work,"R89 904,15","R5 367 862,12","R629 894,45",2024/07/22,2024/07/27,2025/06/26,Reported,
71,Q2 2024/25,2024/08/02,South African Social Security Agency (SASSA),Acquisition of office accommo2d yaetaiorns Kwa-Mashu Local Office for,Community Property Company (PTY) LTD,bh MioD dl u de pon p rpfiofcaricicor pt e ecm a suale isr tce yn c e mt io msoem af an o rP lt ks duo eoabf d tnloi i o oc ofnf ntiW c rt beeoo ya rab dk Sces yAc poa fSormn o Srd vo Ao idI cd n wa ceft ur adiuo ps s bn ant y trf oiu o oe ncr nT -t .Su rh eArAee slSksp p woS ou niA ont s pioa ievnn en d .,"R2 765 475,84","R6 437 374,46","R0,00",2024/07/24,2024/08/01,2025/07/31,Reported,
72,Q2 2024/25,2024/08/02,South African Social Security Agency (SASSA),seAcpupriotyin stmerevnict eosf saet cSuAr piSt eySr is oAe d Kr v oZi fcN 5e Rmper oognvitoi hdnse Mr fiodrla tnhde sp Droisvtisriicotn f oorf a,Tyeks Security Services CC,coT ne drSm itieoinrnva sitc.io eLnsim odifut eteh d et op c efoariniolut drra efc o ttr o w r ucitonhmn M ipnalgyb owo ptiwtehna c n boe ind St rpearccoutc r eit sy s .,"R6 592 173,83","R28 185 709,59","R0,00",2024/07/24,2024/08/01,2024/12/31,Reported,
73,Q2 2024/25,2024/08/07,Legal Aid South Africa,Ermelo Local Office Security Services,Dikolobe-Bakwena Security Services,RFQ process not yet concluded,"R2 850,00","R19 300,00","R0,00",2024/06/21,2024/07/01,2024/09/30,Reported,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
74,Q2 2024/25,2024/08/07,Legal Aid South Africa,Biometric systems to include anti-theft brackets,NEC XON system (Pty) Ltd,Installation of vandal resistant brackets,"R170 822,30","R7 378 547,81","R0,00",2024/06/21,Once off,Once off,Reported,
75,Q2 2024/25,2024/08/07,Legal Aid South Africa,Replacement and preventative maintenance of generator,Matase Industrial Solutions,Increasing the scope of work,"R25 284,00","R634 936,15","R171 759,93",2024/07/15,Once off,Once off,Reported,
76,Q2 2024/25,2024/08/07,Legal Aid South Africa,Siyabuswa Satellite Office ( Lease of office accomodation),Khuzani Trading CC,RFQ process not yet concluded,"R25 500,00","R365 976,00","R0,00",2024/06/24,2024/07/01,2024/09/30,Reported,
77,Q2 2024/25,2024/08/07,Legal Aid South Africa,Plumbing Maintenance and support services,Mahatlane Innovations Group,Increasing the scope of work,"R100 000,00","R196 666,00","R160 000,00",2024/06/26,2024/07/01,2024/12/31,Reported,
78,Q2 2024/25,2024/08/07,Legal Aid South Africa,Deeds and Company searches,Lexis Risk Management Proprietary Limited,RFQ process not yet concluded,"R21 471,06","R146 394,30","R0,00",2024/07/24,2024/08/20,2024/11/19,Reported,
79,Q2 2024/25,2024/08/07,Legal Aid South Africa,Emalahleni LO Cleaning Services,Izayo Projects,RFQ process not yet concluded,"R20 000,00","R480 000,00","R20 000,00",2024/07/23,2024/08/01,2024/08/31,Reported,
80,Q2 2024/25,2024/08/07,Legal Aid South Africa,Vredendal Local Office ( Lease of office accomodation),Lynette Mulder,Tender process not yet concluded,"R284 610,72","R1 232 215,75","R0,00",2024/07/23,2024/08/01,2025/07/31,Reported,
81,Q2 2024/25,2024/08/07,Legal Aid South Africa,Makhanda (Grahamsatoccwonm) oLdoactaiol On)ffice ( Lease of office,Karoovlakte Trust,Tender process not yet concluded,"R597 897,60","R5 339 352,00","R597 897,60",2024/07/23,2024/08/01,2025/01/31,Reported,
82,Q2 2024/25,2024/08/07,Legal Aid South Africa,Tzaneen Local Office ( Lease of office accomodation),Resilient Property (Pty) Ltd,Tender process not yet concluded,"R576 046,92","R2 673 707,01","R542 944,92",2024/07/23,2024/08/01,2025/07/31,Reported,
83,Q2 2024/25,2024/08/07,Legal Aid South Africa,Kimberley Local Office ( Lease of office accomodation),Pretmax Business Trust,Tender process not yet concluded,"R176 712,00","R4 590 473,42","R0,00",2024/07/23,2024/08/01,2024/09/30,Reported,
84,Q2 2024/25,2024/08/19,National Home Builders Registration Council (NHBRC),"mEaaxitnt e 2ten 3ns NaionHncB eo R fo Ctfh ae On c f fiu incrterreusnd fteo crr oaanl aptrreamrc i ots dfyo sort fes Tmup h ap irnl ty yd, Oianrnsmetae (ldl 3a 1trie)o sdnpa aoynnsds e",SINQOBILE EQUESTRIAN SECURITY,Impractically impossible,"R 48 342, 45","R1 826 080,40","R0,00",2024/08/15,2024/08/16,2024/09/15,Reported,
85,Q2 2024/25,2024/08/02,Social Housing Regulatory Authority (SHRA),"Ampapnoaingtmede nsteS ro Hvfi RcaeAn pfin orforo varim dthea irt i totyon pa irxno (dv3 id6coe) m mcmoornuetn hIiC c paTet i rso ioen drsv itceecsh ntoo ltohgey
r - s",Jec Technologies,EMxtaeyn 2si0o2n4 o tfo c 3o1n tJr uaunclytt i l2f o 30r 12 a 4A p uae gnr udio s ad t n 2o 0af 2dth 4drietioen maol notnhes mfroonmt h1,"R227 803,33","R5 119 565,20","596 470,00",2024/04/30,Once off,Once off,Reported,
86,Q2 2024/25,2024/08/08,South African Social Security Agency (SASSA),Support and Maintenance of the SRD 350 System.,Procense,"Handover to new service provider
Business rceopnlaticneumitye ntot parlloocwusr efomre tnhte p frinoacelissast.ion of the","R7 831 500,00","R7 220 850,00","R10 442 000,00",2024/07/30,2024/08/01,2024/10/31,Reported,
87,Q2 2024/25,2024/08/12,Department of Justice (aDnodJ &CConDs)titutional Development,"LiAb Crpa opr noyloi s npott iustm ubee tl-ii on lcenat a ato fio lf p Dna us ebS v(le iF ecro lav orti pec iomeign enP ) n frOoo t,rv n ti thld hin ee ee r O,D fs fo efu ir pc bt eahs rec otm r fpi petr hto ni eov t ni Cos fit ho oJin e up fso r Jtifni ucVt seeir t d it cu a ean l d",LexisNexis (Pty) Ltd,,"R302 595,81","R13 714 914,76","R7 802 595,81",2024/07/23,2024/08/01,2024/08/31,Reported,
88,Q2 2024/25,2024/08/16,Public Protector South Africa,Thabong Project Enterprise (Pty) Ltd,Supply & InstallationO offfi cgerill mash at Mafikeng,This comthpeo nloecnkt uisp cgraitricaagle t ow aithlloowut voebhsitcrluecst itoon d.rive into,"R7 500,00","R136 800,00","R0,00",2024/08/02,Once off,Once off,Reported,
89,Q2 2024/25,2024/08/16,Public Protector South Africa,Provision of leasing asnyds tmemon fiotor rPinPgS oAf the video-fied alarm,ADT-fidelity,alParrmov sisyiostne mof floera sPiPngS Aa nPdr omvoinncitioarl ianngd o Rf tehgei ovnidael oO-ffifeicde s,"R44 539,60","R2 122 885,14","R272 530,34",2024/07/31,2024/08/01,2024/08/31,Reported,
90,Q2 2024/25,2024/08/14,South African Fore(SstAryF CCOomL)pany SOC Limited,ARtetoqruneesyts t oin v tahSrey e mrt vhaie ct etcesor n (bPter tatywc ) teL aetdmn /oC/ u SonlAlti nFwsCi tSOh eLLbaowlato Fnisn aAnfrciciaal,Lawtons Africa Attorneys Inc,Continuity of a legal matter,"R2 000 000,00","R500 000,00","R0,00",2024/07/23,Once off,Once off,Reported,
91,Q2 2024/25,2024/06/25,South African Fore(SstAryF CCOomL)pany SOC Limited,sRerevqicueess ta fto Nr gVoamriaet iPolna ninta rteiolant ifoonr atop ea rpiordo voisf ioonne o (f1 s)e Mcuornittyh .,Fezela Protection Services (Pty)Ltd,Business Continuity,"R154 163,19",R462 489. 57,"R0,00",2024/06/14,2024/06/16,2024/06/16,Reported,
92,Q2 2024/25,2024/06/25,South African Fore(SstAryF CCOomL)pany SOC Limited,Resqeurevsict efosr aVta Briraotoioknla innd r efolar taiopne troio da pofr oovnisei o(1n) oMf osencthu.rity,EBL Tactical Security Services,Business Continuity,"R84 448,33","R253 344,99","R0,00",2024/06/07,2024/06/08,2024/07/08,Reported,
93,Q2 2024/25,2024/06/25,South African Fore(SstAryF CCOomL)pany SOC Limited,Request for Variatsioenrv iinc eresl aatti oRno tbou arn piarovision of security,EBL Tactical Security Services,Business Continuity,"R171 948,00","R338 146,00","R0,00",2024/06/13,2024/06/15,2024/07/15,Reported,
94,Q2 2024/25,2024/07/18,South African Local Government Association (SALGA),Tenant Installation Allowance variaition for the new KZN office,Regal Property Trust,Basic fit out structure not met,"R1 810 739,11","R17 073 552,07","R0,00",2024/07/15,Once off,Once off,Reported,
95,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,To purchasPeL aEdXdOitiSo nLaicl ePnLcEeXsO toS CLliocuedn cSeesr vaincde sMigration of,Energy Exemplar Europe (LTD),Expansion,"R26 065 893,91","R9 994 450,05","R5 490 041,61",2024/04/19,2022/05/25,2027/05/24,Reported,
96,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Thgee nsuepraptloyr so fa gt eAnrenroat tPoro awnedr Sgetanteiorna tfoorr aau pxieliraioride so sf p3a6r emso fnotrh sthe,Toshiba International (Europe) Ltd,Expansion,"R7 270 517,34","R39 491 707,65","R0,00",2024/05/30,2021/10/01,2024/09/30,Reported,
97,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of PMDCM (oPnoitrotaribnlge &Modular Data Centre),Immersive Group Pty Ltd,Expansion,"R16 500 000,00","R8 003 415,00","R0,00",2024/04/02,2021/09/23,2024/09/22,Reported,
98,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Temporary Coal StockpMileed Yuaprid P (STCSY) Rehabilitation at,CIVENG Construction (Pty) Ltd,Expansion,"R1 946 431,52","R6 080 385,16","R960 314,60",2024/04/08,2023/06/12,2024/02/28,Reported,
99,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision Of Caantde rKinegn Sdaelr vViiclleasg ea tA Kcucsoimlem Poodwaetiro nStation Project,Visit Vakasha Guest Lodge SA,Expansion,"R15 696 407,49","R65 882 494,08","R0,00",2024/04/11,2023/04/01,2024/07/31,Reported,
100,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,UnFitr e5q Euaernthc yB Poox wSewri tScuhp Bpolyx aRt eKfuernbdisahl mPoewnte fro Sr ttahteio Hn.igh,Techno Environmental Filters (Pty) Ltd,Variation,"R2 032 747,68","R1 416 946,40","R1 416 946,40",2024/04/19,2023/11/03,2024/05/31,Reported,
101,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,UnFit r5e qEuaernthc yB Poxo wSewri tSchu pBpolyx aRte Kfuernbdisahl mPeonwt efro rS tthaeti oHnigh,Techno Environmental Filters (Pty) Ltd,Expansion,"R2 032 747,68","R1 416 946,40","R0,00",2024/04/19,2023/11/03,2024/05/31,Reported,
102,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Service and Calibration of M5400 Doble Machine,Doble Engineering,Expansion,"R31 021,00","R144 714,00","R0,00",2024/02/27,2024/02/27,2024/05/22,Reported,
103,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision of Fire DetePcotwioenr SSytastteiomn Maintenance at Camden,MZ Security Systems CC,Expansion,"R735 012,86","R1 040 745,22","R0,00",2024/04/08,2023/04/24,2024/09/24,Reported,
104,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The provision to repair SulSzetar tpiounmps spares at Matla Power,Sulzer Pumps SA (Pty) Ltd,Expansion,"R23 780 913,89","R75 811 490,10","R0,00",2024/04/11,2021/09/23,2026/09/22,Reported,
105,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modificatisoanm fpolri nthge o pf rcoovnistriaocnt ocfo caol natnradc ltiumael smtoonneit.oring and,Lemoliwe Trading and Projects (Pty) Ltd,Expansion,"R14 611 466,00","R81 451 922,50","R0,00",2024/04/05,2020/01/01,2024/05/31,Reported,
106,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification for the provision of electrical maintenance,Lomakhosi Trading Projects,Expansion,"R3 561 575,00","R11 268 496,75","R0,00",2024/04/11,2021/04/17,2025/03/31,Reported,
107,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision on MMD fWoro Mrkesdhuoppi &P oRweefur rSbtiasthiomne.nts of components,Ratamang Engineering and Supply (Pty) Ltd,Expansion,"R15 194 699,17","R55 336 556,19","R0,00",2024/04/10,2020/10/19,2024/10/31,Reported,
108,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Fuel Oil Flow Meter Replacement Project,CT Control ISnydsutsetmrias l (SPetyr)v iLcteds t/a Amaziah,Expansion,"R377 103,00","R8 411 084,65","R913 922,29",2024/04/15,2022/07/01,2024/06/30,Reported,
109,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"AAcdTcdhere es ssm sCa inwion gn ht etSerno nyals” nStrec eyme qs uto ae if rnm et dh, d eFt hb SC eaD sC pi srTSo Vy avs tis st Aee iormc nnu, o r oE ti t fPyV s oAs pwCu ar er vSere sy Si sl ol tat anen t m ic aoe nna .sn“aydss P-te aum nb, dl ic-",C3 Shared Services (Pty) Ltd,Expansion,"R996 695,63","R15 632 281,14","R3 500 176,56",2024/04/17,2020/02/24,2024/07/23,Reported,
110,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,TPhoew eprr oSvtiastiiooPnno o wefme b rp u Slsot aytreta ioen nss pofoonrr at ta h dt eioa Wnily is tbbeaarvsniic kse atsor e oaafn .Eds fkroomm KKrriieell,Nkodosi Trading Enterprise,Expansion,"R5 950 638,40","R26 365 188,00","R7 155 824,40",2024/04/22,2019/02/01,2024/12/31,Reported,
111,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The maintenance of cAornnovte Pyoorw pelar nSttation coal stockyard,Maduka Resources cc,Expansion,"R5 190 095,87","R17 935 148,18","R20 291 521,15",2024/04/25,2022/02/01,2024/07/31,Reported,
112,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"sMcoapinet eonf awn Pocroekw oreef rlva Satetlv ade t its oo, n mp fu oam ri napt es pn, e ar ring iogcdein oag fc a ftiivcvetiitv i(ei 5tsi )e fs yo eara nprdlsa annt ay to Athrneor t",Orea Holdings (Pty) Ltd,Expansion,"R17 145 415,20","R122 026 691,36","R0,00",2023/12/19,2024/01/18,2029/01/18,Reported,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
113,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"repInagirusl aa n2d D mraofdt iTficuab fte uio n Gn cs ta fi uotine lnl c af oluu lpil tdl ey gi rn oaag ftt i e otc h noa eams lgsm aeim ts esb .iloyn iinnsgp teoc rteiosntso,r ea ltlh e",H AND H Specialized Services,Expansion,"R3 000 000,00","R556 572,00","R2 097 108,00",2023/12/22,2023/12/22,2024/11/30,Reported,
114,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The Provision of dataK buosoilke mPaonwaegre Smtaetniot nand review services at,DBG Consulting (Pty) Ltd,Expansion,"R3 061 500,00","R19 369 600,00","R7 059 000,00",2024/03/28,2021/08/15,2024/07/31,Reported,
115,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,DP isro pv oi ss aio l n F o af c iD liSte yts o2ig c-kn 4y a aYn redd a FCtrh ao De cn eiD ls i-tt sr yrycu P ocAphtsi eo ahdn se WM 3o o Wn rkit oso rr akin nsg d S Ee xcrv ei sc se s C f oo ar l,CJoonnessu l&ta nWtsa g(Petnye) rL Etdn g(Rineege Nrinog. 1&9 E93n/v0ir0o2n6m5e5n/0ta7l),Expansion,"R9 090 887,87","R12 959 369,80","R10 752 311,08",2024/04/30,2021/01/18,2025/03/30,Reported,
116,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,PMhoydsiifcicaal tGiouna Nrdoin. g2 Stoe rcvoivcn aetr lsa u c eat t a 4Kn6ud0s 0 tiil0 me7 eP0o2w81e rf oSrt athtieo np rPorvoisjeiocnt foofr,Venus Security International (Pty) Ltd,Expansion,"R35 240 372,64","R108 118 248,32","R11 995 879,73",2024/04/25,2021/09/09,2024/06/30,Reported,
117,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Provision Of Caantde rKinegn Sdaelr vViiclleasg ea tA Kcucsoimlem Poodwaetiro nStation Project,Visit Vakasha Guest Lodge SA,Expansion,"R15 696 407,49","R69 176 618,78","R0,00",2024/04/04,2023/04/01,2024/07/31,Reported,
118,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Combustion Was Kte sT ie ler r Pa oce eC rto hSnets at tr iu oc nt i Pon - eP ch tase 2 (P23B) for
u w ro j",Grinaker LTA & ENZA Construction Joint Venture,Expansion,"R223 400 711,07","R818 415 940,76","R0,00",2024/04/19,2022/08/02,2025/11/27,Reported,
119,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,TNraatciokninMaglo Tadrnifei dca a Mstui oornyn i t(f ooNrrTi nft) ih gf tTe yS r p (ay5rnso 0tsv e)v i mmseirso os n ntao tlo h Ctf sh toehn e St rR taacT tet4 ff6oo-rr 2tah0 e2 p 0 eVreiohdic loef,EKS Vehicle Tracking (Pty) Ltd,Expansion,"R6 762 679,00","R9 737 708,00","R0,00",2023/08/30,2022/02/05,2026/03/31,Reported,
120,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of the Board Portal Solution,Ability Holdings 35 CC T/A Convene SA.,Expansion,"R1 940 000,00",R4 360 600-00,"R0,00",2023/08/31,2022/05/13,2027/05/13,Reported,
121,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of legal panel,56 Suppliers (List attached),Expansion,"R889 500 000,00","R922 998 623,00","R0,00",2024/03/13,2019/04/01,2024/09/30,Reported,
122,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"ST mAi am sPiune S bt ea sonn cuad rt ihnp V ctA ia eofl r nu aic e nsa deM ( rsP vo uidt cypi ef)pi scLo a (trd ntt i o oo1n nf9 c eo9 ox1f im s/c0tmo i2nn i0 tgt tr4 a a S7 l)c A0 ,t P / SN0 A7lo iPc .f eo 4 Mnr6 s4t0he60es00 , p 0 6 Sr 07oA65vP74is 5 1 ci 4 olw o1nui toh df",SAP South Africa (Pty) Ltd,Expansion,"R93 583 747,22","R651 568 927,00","R0,00",2023/08/20,2020/04/01,2024/03/31,Reported,
123,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,oPnr-olinveis ieolne cotfr iAcadl- hdoisct rai obn fud ELt iso eB kn aa o rsnmniec i n Atsw gco oaSfrt dewkersa vm rf eoe yrr ss .5u pOppoerrt afotinr gm Uonniittosr ianngd,Hitachi Energy South Africa (Pty) Ltd,Expansion,"R7 714 071,32","R6 830 883,02","R0,00",2023/10/24,2022/08/23,2025/01/30,Reported,
124,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of eOxuisttaingge cMoanntraagcet m46e0n0t 0S6y5s8te6m0 for provision of,GE Electrical,Expansion,"R21 219 698,49","R120 370 342,34","R0,00",2026/05/31,2019/06/01,2024/05/31,Reported,
125,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"SubscripStioOnL lUicTeInOsNe, fsour pap poertr,i oadn do fm foauinr t(e4n)a ynecaer sfor BEST",Bayajula Services Pty Ltd,Expansion,"R621 542,23",R1 739 359.00,"R0,00",2024/04/25,2021/05/21,2024/04/30,Reported,
126,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,docMuomdeinfictsa tsiooDnlui stfoitorr in bP utroto i oEv niss kSiooenmr vo cif c uE essmt o(a Emil D eDrDsis S -tr )Ei b slu oet lcuiottrn ioo nnoifc c Duostcoummeern ts,Bidvest Data Pty Ltd,Expansion,"R1 800 000,00","R2 019 960,00","R0,00",2023/07/13,2020/12/01,2023/11/30,Reported,
127,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,oPnr-olinveis ieolne cotfr iAcadl- hdoisct rai obn fud ELt iso eB kn aa o rsnmniec i n Atsw gco oaSfrt dewkersa vm rf eoe yrr ss .5u pOppoerrt afotinr gm Uonniittosr ianngd,Hitachi Energy South Africa (Pty) Ltd,Expansion,"R7 714 071,32","R6 830 883,02","R0,00",2023/10/24,2022/08/23,2025/01/30,Reported,
128,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of the SAS contract,Dake Solutions Pty Ltd,Expansion,"R17 995 626,00","R171 775 458,00","R0,00",2024/05/13,2021/05/01,2027/03/31,Reported,
129,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Modification of SAP Professional Services,Klarib Business Solutions (Pty) Ltd,Expansion,"R860 754,00","R2 066 688,00","R0,00",2023/09/30,2022/07/01,2023/09/30,Reported,
130,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Non-dewshtreunct irveeq uteirsetdin bga (sNisD Tat) KLoeevbeel IrIgI s Oeprveicraetsin ogn U annit as and,SISSAta Innslepye Icntsiopne c(Ptiotyn) SLtodu (tphr Aevfriiocuas (lPy tkyn) oLwtdn) as,Expansion,"R3 043 304,86","R8 963 868,00","R6 225 203,98",2024/04/30,2019/09/20,2025/07/19,Reported,
131,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,ePmropvliosyioene sfo or nH ao mdaei-lwy obraks Hiso amt eM Tatriamnbsap oProtawtieorn S otfa stihoinft.,Naremotho Trading Enterprise (Pty) Ltd,Variation,"R76 734,00","R15 314 961,00","R10 072 508,48",2024/05/03,2018/09/01,2024/05/31,Reported,
132,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The proevmispiloony eoef sh odmaiely- waot rMk-ahtiommbea tPraonwsepro Srtatatitoionn of shift,Naremotho Trading Enterprise (Pty) Ltd,Expansion,"R1 315 101,00","R15 314 961,00","R10 149 242,48",2024/05/31,2018/09/01,2024/08/31,Reported,
133,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"cPraronveiss ioawnn dhfo elir nf tm irneagqi n uet iqe reun diap nmbc aee sn, i stt e aasntt di Mn sg au, t ipi mnps blyp a e oPcf t osio wpnae,r rae Snst d ao tnr ie o ap nna iar so fa anldl",Margisia Lifting Solutions (Pty) Ltd,Expansion,"R1 709 497,54","R19 190 241,55","R2 900 758,83",2024/05/10,2019/06/01,2024/05/31,Reported,
134,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,The Provision ofK Toeecbhenrgic aOl pTerraaintiinngg USnuiptport Services at,Prosmart Training Solutions (Pty) Ltd,Expansion,"R4 948 192,00","R14 573 475,20","R0,00",2024/05/09,2019/08/05,2026/02/03,Reported,
135,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Refurrbeisqhumireedn tf oorf aO pil eBruiordn eorfs 5 a yneda srsu papt lKy roief ls Ppoarweesr aSst aatniodn w hen,Safurnco (SA) (Pty) Ltd,Expansion,"R15 519 155,20","R11 645 155,20","R0,00",2024/05/06,2020/02/05,2025/02/04,Reported,
136,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Refurbishmpeerniot do fo Wf 2a yteera Trsr eaat tMmeantlat PPlaonwte Dr eSmtaintio Tnrains for a,AquaPlan,Expansion,"R2 961 631,80","R9 896 354,00","R1 421 650,00",2024/05/02,2017/08/01,2024/11/30,Reported,
137,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Fbuolxl erse ffuorrb Aisrhnmote Pnto owfe Dr rSethamtyioeona A roscrt upalatonrts f oarn ad poevreioradl l ooff thgreeaer,Ageleze Automation,Expansion,"R6 501 268,08","R6 501 268,08","R0,00",2024/04/17,2021/06/03,2024/06/06,Reported,
138,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Work home-work transport for employees,Makalane Plant Maintenance,Expansion,"R748 870,92","R14 976 783,36","R2 246 612,76",2024/05/27,2018/09/01,2024/08/31,Reported,
139,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"(DS rae krv ei ncSe syb s& ete rR gme ,s p G aa atir rPs ie eo paf , kA Ianini ngrg duC lP Vaol,n aa Pd nni dattsi elo m ran kine elodr t,s o o, Pf )fF ofiacrtne Rss eafoxn ,r d S5 A e Yi rr ee F aWirlst ir na dti fo an rm",KRM Global Works (Pty) Ltd,Expansion,"R5 955 273,00","R5 877 017,50","R10 878 320,00",2024/05/17,2023/07/01,2028/06/30,Reported,
140,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Remedial works to Machine Hall Roof,Toprope SA,Expansion,"R471 553,20","R505 313,75","R0,00",2024/05/27,2023/12/01,2024/05/31,Reported,
141,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of office cMleaantiminbga, hPyogwieenre S, taantido ncar wash services at",Koketso Anna NgoakoL Ttdrading & Projects (Pty),Expansion,"R1 877 547,94","R19 056 095,00","R1 993 112,72",2024/05/01,2022/04/01,2024/08/31,Reported,
142,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Supply andK drieelli vPeoryw oefr dSutastt iohna nfodrli nag p pelraiondt mofe 5c hyaenaircsal spares to,Madiva Trading Enterprise,Expansion,"R49 037 059,50","R47 383 185,00","R0,00",2024/05/20,2020/02/01,2025/01/31,Reported,
143,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,Veld Fire Services,Sesizwile Transport & General Services (Pty) Ltd,Expansion,"R406 900,00","R2 116 000,00","R0,00",2024/05/22,2019/07/01,2025/06/30,Reported,
144,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"The proav ipseiorino do fo bf o3i6le rm woansthhsin agt, Cuanmbldoeckni nPgo wanedr Svatactuiounming for",Dfrey Engineering Project (Pty) Ltd,Expansion,"R9 153 509,80","R42 311 592,40","R0,00",2024/04/25,2021/01/29,2024/10/29,Reported,
145,Q2 2024/25,2024/08/01,Eskom Holdings SOC Ltd,"Provision of C&I Cable PSulelirnvgic, eMaintenance and Outage",MJMP83 (Pty) Ltd,Variation,"R406 900,00","R2 116 000,00","R0,00",2024/05/06,2019/05/29,2026/09/03,Reported,
