3.1 GOVERNANCE MONITORING AND COMPLIANCE: 2024/2025 QUARTER 2 REPORT EXPANSIONS,,,,,,,,,,,,,,
Number,Perdiordo p/ dQouwanrt eLri s (tU)se,Date (Ryyeyceyi/vmemd /Bddy) GMC,(UEsneti tdyr/oDpedpoawrtnm Leinstt ),Project Description,Supplier / Service Provider,Reason for Expansion,Value of Cont[rRa]ct Expansion,Original Co[Rnt]ract Value,Value of Prev[iRo]us Expansion,Awa(rydy byyy /AmOm/ /AdAd )date,Co(nytyryacyt/ mstmar/td dda)te,Con(ytryaycyt /emxmpi/rdyd d)ate,(Use drSotpadtuoswn List),
11,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"MMaaiinntteennaannccee oann dD uOsut tHagaensd laint gM Paltaimntb, aP Preocwipeitra Stotarsti ofonr",BKM Tshimollo Holdings (Pty) Ltd,Expansion,"R2 037 294,00","R8 387 067,69","R22 550 033,25",2024/05/31,2022/03/01,2024/07/31,Reported,
12,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Provision of hydyreaaurlisc amt aKinutseilnea Pnocew esre rSvtiacteiosn for a period of 5,Hyses (Pty) Ltd,Expansion,"R40 068 449,50","R35 084 820,00","R0,00",2024/05/16,2023/02/20,2028/02/21,Reported,
13,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"ATbhluet iporno vAirseioans oaft NDounv-hInad Puoswtr yei earal SC rstlaetaionnin fgo-rO af fpiceersio, dK iotcf h3e (nth arened)",ThembalamantuLntgdwa Trading (Pty),Expansion,"R2 744 220,85","R47 460 880,00","R29 320 256,05",2024/05/31,2019/01/03,2024/08/02,Reported,
14,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Provision oaf Speoroiot dB loofw 3e yr efoarr sn oartm Kauls Milea iPnotewnearn Sceta atinodn outage for,Katale Trading & Projects CC,Expansion,"R34 718 598,19","R48 130 699,74","R0,00",2024/05/31,2021/04/15,2025/04/14,Reported,
15,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Tsehrev ipcreosv diseiopna rotmf ae nste fcorre taa rpye Srtoitoa ds tiu oop nfp .1o2rtm tohnet hFsin aatn Ccea mandde nS Pupopwoerrt,Harambee General Services (Pty) Ltd,Expansion,"R188 588,88","R201 561,60","R187 152,40",2024/05/31,2022/06/01,2025/05/31,Reported,
16,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,The compsrpeasrseosr so mn aainn t“eansa- nacned a- nwdh esenr”v riecqeu airnedd tbhaes pisrovision of,CompAir SA (Pty) Ltd,Expansion,"R50 879 970,26","R55 693 304,79","R16 042 420,26",2024/06/05,2021/06/11,2025/06/10,Reported,
17,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,"ProvisSiotna toiofn H, oVratiaclu Dltuarme,, PAlaienntf oPnlatenitns FCaornmtsro (lR aet pGurropootsvilnegi )Power",Africa Thumamina,Expansion,"R20 661 857,79","R28 139 177,59","R0,00",2024/05/10,2023/06/01,2028/05/31,Reported,
18,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,The refurbiSsthamtioenn tf oarn da rpeepraioird ooff LTVh mreoet o3r sY eaat rKsu.sile Power,Winding Technologies,Expansion,"R5 175 000,00","R9 289 121,21","R0,00",2024/04/29,2022/02/15,2025/02/14,Reported,
19,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Prohvaisnidolnin fgo rs ymsatenmuf aacnt pdu e rae riir oa dsnl ioddf e r 1es2f ua mrt bMois nah tthmlase Pnot wofe sr lsutraryti opnla fnotr BaB A,Mbali Industrial Solutions,Expansion,"R10 898 313,43","R21 113 163,01","R0,00",2024/05/24,2021/02/24,2025/05/23,Reported,
20,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,ProvisionS otaf thioyng iefonre a s peervriiocde so af t1 K yoemarati Power,Bidvest Steiner (Pty) Ltd,Expansion,"R135 136,50","R470 000,00","R198 850,00",2024/06/06,2023/01/11,2024/09/10,Reported,
21,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Supply and deplievreioryd ofof rc sletoacnkin rge pmleanteisrihaml feonr ta five (5) year,Baetshephi Civil and Construction CC,Expansion,"R3 620 200,00","R7 771 203,50","R0,00",2024/06/13,2023/03/16,2028/03/31,Reported,
22,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,Supply and deplievreioryd ofof rc sletoacnkin rge pmleanteisrihaml feonr ta five (5) year,Divine Roots (PtyS) et/rav icTesshehlana Cleaning,Expansion,"R3 112 654,22","R1 649 709,16","R0,00",2024/06/13,2023/03/16,2028/03/31,Reported,
23,Q2 2024/25,2024/06/20,Eskom Holdings SOC Ltd,The provision\m oof nFtihres aant dC ammeddeicna lP soewrveirc eSsta ftoior na period of 36,Mpumacare Emergency medical service,Variation,"R8 061 362,00","R19 222 395,00","R0,00",2024/06/04,2023/08/14,2026/08/13,Reported,
